interaction_id,user_id,item_id,interaction_type,rating,timestamp,session_id
0,0,162,view,,2023-12-21,0_20231221_00
1,0,449,view,,2024-08-10,0_20240810_00
2,0,208,view,,2024-11-07,0_20241107_00
3,0,151,view,,2023-01-18,0_20230118_00
4,0,315,view,,2023-08-31,0_20230831_00
5,0,77,click,,2024-08-20,0_20240820_00
6,0,413,view,,2024-12-07,0_20241207_00
7,0,492,view,,2024-04-20,0_20240420_00
8,0,104,view,,2023-12-27,0_20231227_00
9,0,264,click,,2024-09-08,0_20240908_00
10,1,392,click,,2023-05-13,1_20230513_00
11,1,413,click,,2023-08-09,1_20230809_00
12,1,107,click,,2024-10-02,1_20241002_00
13,1,403,view,,2024-08-03,1_20240803_00
14,1,114,purchase,4.0,2023-07-15,1_20230715_00
15,1,446,view,,2024-07-15,1_20240715_00
16,1,42,view,,2024-03-05,1_20240305_00
17,1,152,click,,2024-04-29,1_20240429_00
18,1,189,view,,2024-10-30,1_20241030_00
19,1,118,view,,2024-02-15,1_20240215_00
20,1,356,view,,2023-06-21,1_20230621_00
21,1,487,purchase,3.0,2024-04-04,1_20240404_00
22,1,76,rating,5.0,2023-07-25,1_20230725_00
23,1,289,rating,5.0,2024-12-01,1_20241201_00
24,1,246,click,,2024-03-03,1_20240303_00
25,1,490,view,,2024-09-07,1_20240907_00
26,1,181,view,,2023-02-20,1_20230220_00
27,1,482,purchase,5.0,2023-01-14,1_20230114_00
28,1,488,view,,2023-12-26,1_20231226_00
29,1,65,click,,2024-07-20,1_20240720_00
30,1,374,purchase,4.0,2024-11-05,1_20241105_00
31,2,434,view,,2023-06-27,2_20230627_00
32,2,32,purchase,3.0,2023-06-18,2_20230618_00
33,2,32,purchase,4.0,2023-05-17,2_20230517_00
34,2,21,click,,2024-11-10,2_20241110_00
35,2,233,click,,2024-01-17,2_20240117_00
36,2,354,click,,2024-11-20,2_20241120_00
37,2,469,view,,2024-05-08,2_20240508_00
38,2,427,view,,2024-03-05,2_20240305_00
39,2,212,click,,2024-07-16,2_20240716_00
40,2,449,view,,2024-05-25,2_20240525_00
41,2,447,click,,2023-12-27,2_20231227_00
42,2,441,view,,2024-04-19,2_20240419_00
43,2,22,view,,2023-06-10,2_20230610_00
44,3,458,view,,2024-05-18,3_20240518_00
45,3,206,click,,2024-02-03,3_20240203_00
46,3,63,view,,2024-10-26,3_20241026_00
47,3,111,purchase,3.0,2024-05-12,3_20240512_00
48,3,51,click,,2024-07-27,3_20240727_00
49,3,350,view,,2023-10-07,3_20231007_00
50,3,429,view,,2023-05-07,3_20230507_00
51,3,378,click,,2024-05-04,3_20240504_00
52,3,303,view,,2024-04-27,3_20240427_00
53,3,484,click,,2023-01-17,3_20230117_00
54,3,259,view,,2023-10-06,3_20231006_00
55,3,214,click,,2024-11-17,3_20241117_00
56,3,175,click,,2023-04-11,3_20230411_00
57,3,221,view,,2023-10-28,3_20231028_00
58,3,56,view,,2023-07-31,3_20230731_00
59,3,189,view,,2024-01-12,3_20240112_00
60,3,457,view,,2023-08-31,3_20230831_00
61,3,334,view,,2024-09-18,3_20240918_00
62,3,231,view,,2023-09-23,3_20230923_00
63,3,200,view,,2023-01-20,3_20230120_00
64,3,297,view,,2023-01-20,3_20230120_00
65,3,274,view,,2024-02-05,3_20240205_00
66,3,399,view,,2023-03-24,3_20230324_00
67,3,231,view,,2024-09-10,3_20240910_00
68,4,184,view,,2024-07-01,4_20240701_00
69,4,137,view,,2023-06-16,4_20230616_00
70,4,32,click,,2023-09-28,4_20230928_00
71,4,334,purchase,3.0,2023-08-05,4_20230805_00
72,4,419,view,,2024-05-31,4_20240531_00
73,4,198,view,,2023-08-17,4_20230817_00
74,4,195,view,,2024-06-27,4_20240627_00
75,4,122,click,,2023-11-02,4_20231102_00
76,4,256,view,,2024-10-01,4_20241001_00
77,4,324,view,,2023-05-29,4_20230529_00
78,4,293,purchase,3.0,2024-03-01,4_20240301_00
79,4,132,rating,5.0,2023-07-31,4_20230731_00
80,5,143,purchase,2.0,2024-04-04,5_20240404_00
81,5,17,view,,2023-01-20,5_20230120_00
82,5,348,click,,2024-11-10,5_20241110_00
83,5,181,view,,2023-06-19,5_20230619_00
84,5,9,click,,2024-04-16,5_20240416_00
85,5,175,rating,4.0,2023-11-09,5_20231109_00
86,5,96,rating,4.0,2023-05-10,5_20230510_00
87,5,285,view,,2023-07-29,5_20230729_00
88,5,170,click,,2024-10-06,5_20241006_00
89,5,251,view,,2023-11-06,5_20231106_00
