item_id,category,price,quality_score,popularity,brand_tier,seasonality,features
0,Clothing,51.37,5.0,0.323,Premium,None,"[0.9491660702381609, -1.2117682074893643, 2.676837654111007, -1.081109347824113, 0.8235461198419735, 0.017219582730560564, 1.3336385618598274, 1.141454578321271, 1.4350654120021116, 1.4608187182891128, 0.1436308339881977, -1.1587930664246047, -1.0525230549973785, -2.0868485293159376, -1.0836658334280935, 0.06882365770464906, -0.5596541808251622, -0.18013560440985132, 0.49271541946140096, -0.304065258065758]"
1,Sports,13.5,3.31,0.169,Budget,None,"[-1.2689930591075735, 0.4507156200324405, 0.9597296602772671, -0.43395549707247744, 3.2522006555545784, -0.060576940251455685, -1.1259776634723684, -1.2715590702992374, 0.7848093094573921, 0.692857874596972, 1.5642902635270133, 0.6707183224357742, -0.0994724027795285, 0.48230842425577825, 0.07208750410662172, -0.33257312833496894, -0.5493628701120722, -1.7230162191325151, -0.7421464237843225, -0.01965001220148896]"
2,Clothing,53.52,3.89,0.12,Standard,None,"[0.3624245246135686, 0.5435148412975676, 1.8319257867144383, 0.1779767118544529, -1.1434835036182627, 0.38940296058892643, 0.009438292436112366, 0.16520934463873405, -0.2194441041465731, 0.2128229941509024, 0.6346119196511435, 0.25545835783822857, -1.8228845909695146, 0.2761654482210331, -0.387867194833011, -0.7081944248842408, 1.349172979072771, -0.9325151300006315, -0.8196796165389382, -2.241389587254008]"
3,Food,5.1,3.4,0.319,Budget,Holiday,"[-0.8035309614270922, 2.753229510803207, 0.07857322096112584, -0.5772209563821133, 1.4120963746775894, -0.4690706179438185, 1.6629136549874428, 1.1293572090333335, 1.4300303889213692, 0.20104766428169443, 1.2910522327024336, 1.9017657087015443, -1.1326072905212539, 1.2757718207583224, -1.4089039044254048, -1.0471843552482283, -0.803409459792437, 0.5036366361778611, 0.033015876934859634, -0.16713608416283599]"
4,Movies,5.78,3.43,0.028,Premium,Summer,"[0.3026639779583603, -2.5294996279744737, -0.6092185896490773, 0.4665609682473153, 1.696567616084033, -0.11697625665107049, 2.5898278659346152, -0.6693659876297058, 0.4435864422649429, -0.4939114711368801, 1.9547010492077983, -0.3288681583662116, -0.1698486254258538, 0.7741547577058463, 0.502445494503549, -0.3654341171290954, 0.40982533293607715, -1.0547781737618227, 0.22632253760682547, 0.5492750256382672]"
5,Clothing,6.99,3.15,0.083,Budget,Winter,"[-0.267510256766537, 0.5321615652448167, 0.19726164627928067, 0.7444319414317481, 0.6413834996027722, -1.4557278916720817, -0.8718425324382421, -0.6629942104848412, -0.20269510681892494, -0.7049090511424236, -0.24496158482681793, 0.6535635237086624, -0.5581675974205933, 0.29724701093057837, 0.17553846291793312, -2.957525269102138, -0.8078266696435684, 0.9856638787479964, -0.8947340967526255, -1.0708320038272598]"
6,Home & Garden,11.26,3.38,0.137,Budget,None,"[0.9240979409662279, 1.502697866344197, -1.2818521573795725, 3.4794614334697656, 0.6744654244910979, -0.8930786006049823, -0.3298838851601831, 0.28398781971254555, -1.6550168940722543, -0.08674444724533177, 0.525545680190085, -0.7443711598045819, -1.4798553430192238, 0.1986435513874016, 2.2082504289968408, -0.7132320106245545, -0.6870450659553086, -0.20049376535647676, 1.5697275392410768, -1.6524045853927698]"
7,Travel,103.94,5.0,0.177,Standard,None,"[2.0475521663086043, -0.3566674911519234, 0.12035954411345504, 0.34214189239116893, 1.1291449262747857, 0.26671176482743303, -1.0681043455829369, 0.4218048055067076, 1.1270445967963376, 1.1053041463478346, 0.8000324898266281, 0.25424915915090257, 0.09514960499214041, -0.6399880225369711, -0.22224466626916092, 0.43857323542728766, -0.42417635274500165, -0.9792851711146148, -1.0201298892616688, 0.28092026117658436]"
8,Movies,33.24,3.01,0.148,Standard,None,"[-0.48700055589077146, 0.3038877592858257, 1.2793526763660894, -0.3993263833797075, 1.21972587292093, -0.11565343298540094, 2.3389293847996777, -0.11710405608922823, 0.3648287889421647, 0.5387409256759493, 0.6418107560002312, 0.0032443440781993525, -3.3307860143946333, 0.5955383221999349, -1.970288616052164, -0.6068852617171128, -2.3912418679213387, 1.698553206067221, 0.4173034615036174, -0.3258117824897338]"
9,Music,19.14,4.63,0.367,Budget,None,"[0.8920107069019514, 0.09393834644373124, -0.4993087471199772, -1.0796082951048676, -1.1692113327976903, 0.628803237699292, 0.7311091442209081, -0.40993135792476165, -0.7235418637413056, -2.0271627709551323, -0.91317272736391, -0.2871055322000232, -1.5364095112402196, 2.659995938098837, -1.3403478079208984, 1.1525872435871005, -0.12052319060684649, -0.5664667470120005, -0.24943073841888813, 0.014060737187958142]"
10,Health,23.27,3.93,0.067,Premium,None,"[-0.31910573978387474, 0.22010465815498162, -0.2654812149312082, 0.45411187367953026, 0.3232579322407458, -1.192972009584375, 0.5278728632179637, -0.9545953710317489, 1.0042752335102956, -0.025267921374658567, 0.2582085427268659, 0.6149258072369297, -2.1563345774553753, 0.7892474860745685, 0.41266203922249983, -0.7261017690624366, -0.2363258861348524, 0.19809920835803996, -3.4897800692693695, -1.2510247820916713]"
11,Books,22.89,4.02,0.62,Premium,Summer,"[-1.907221999688803, 1.7982256237008414, -1.4571726984209565, -0.16142789803281682, 0.03476924809445675, 1.1185414093359494, -1.5075851347639375, 0.9084451656457725, 0.09808045027979402, 1.0288491536095945, -0.43175117503112775, -1.3322445867634454, -1.2174993262158662, -1.291807453667116, 0.47781415292065516, 1.4769220222146995, -0.5649515266552204, 0.6291352982577835, -1.5234420581356198, 0.180321249177299]"
12,Home & Garden,9.3,3.67,0.428,Standard,None,"[-2.105580831204928, -1.5757242629982147, 2.129155862409928, 2.1463059745402124, -0.7372466703760234, 0.10849833926309564, -0.1815694541931124, 0.035775485295785336, 0.48913448707453666, -0.1980248989587013, 0.354690986039357, -0.15802448008628092, -0.820867267409795, -1.1060684529617113, 1.3190761913682747, 0.6474075265997693, 1.0370622897644273, 0.0037664035082537583, 0.2256709659631877, -0.1783643972134808]"
13,Music,12.1,4.22,0.127,Standard,None,"[-0.2697406066116577, 0.25287665751566707, 1.7846356069497724, 0.40271818926982167, 0.6252284708731023, 3.1644758470500056, -0.9646575888950566, -0.16508266237098573, 2.4254125918038927, -0.07912222238450871, 1.1164307487822072, 0.9637378771731072, -1.4781137143876892, 0.3104792770059333, 0.14674747220522566, 0.3299587878404347, -0.75411247979106, -1.116919511912159, -0.4760100000208513, -0.09779499708420289]"
14,Music,17.29,3.21,0.319,Premium,None,"[1.1104459441892987, 0.4964009969786951, 0.7164073912990427, 0.5708545641151014, 1.2145474420049598, 2.8559364587000746, -0.5338772156735258, -0.5924588757834237, 0.3559512148443263, 2.289746384473335, -0.1497862171201022, 0.3631220161854476, 0.8945948669615069, -0.4192103396856869, 0.7974841151321669, 0.013978623619684896, 1.2498965025459858, -0.9445876907683202, 2.3138872734260305, -0.31249134783963395]"
15,Food,3.0,2.93,0.15,Premium,None,"[0.775661124366797, 1.4233577948048737, 0.5571241472949836, -1.4149067580901682, 0.3330356842619805, 2.1746639881141374, -2.277730781392013, 2.3734189047945256, -0.2845648103676135, -0.9358388726584004, 1.033386155138722, -1.7377935249071006, -0.35020854762294573, 1.001127553106606, 0.8868035811164898, 0.596458872997418, 0.17277775251935149, -0.1239957766522099, -0.4702011785812433, -0.9713187038461012]"
16,Sports,14.52,4.04,0.213,Standard,None,"[-0.2888288777785187, -0.7960134531833308, 0.8930944782187934, -1.147587028684117, 1.3380109692527677, 1.1668001292181611, -0.7749617715031266, 0.3231608376411431, -0.009592142586376435, 0.24320008501576357, 0.8815450196255646, 0.32529113786068464, -1.3865406564859533, -1.2173944413355242, 0.2948234604574855, -0.9194546767403554, 0.9552851196530215, 0.3091450274751938, -1.7157724244645014, 1.8890828412821385]"
17,Home & Garden,9.33,4.06,0.174,Standard,None,"[-1.402929072413111, 1.2917156075212395, 0.9513849835007704, 0.4302233152811237, -0.39026753093161815, -0.5801637221245197, 0.7479953986272, -1.2287793509050138, -0.09887262565948246, -0.685934503949618, 0.47334118338514336, -0.21679203168792927, -0.5352457039403952, -0.21329657563207796, 2.036042832840112, -0.4168996361193892, -1.041005218283787, 0.5834335691559652, -0.1435246694229566, -1.4152339308664725]"
18,Clothing,22.96,4.46,0.051,Standard,Winter,"[2.182027162680672, -0.7276950758041222, 1.9430127698846948, 0.5413265533348857, 2.034487048286592, 1.46361039349854, 0.8017401735048968, -0.8774276138492408, -0.8788883367739376, 0.6953860316736591, -1.252471496982334, 0.3203654398324478, 0.8042276995382526, -1.4777113193173255, 0.647858928187403, 0.8958822805372862, -0.3632811114292332, -0.15666313498454684, -1.7876353632717714, -0.10965639801656646]"
19,Books,3.18,3.39,0.19,Premium,Holiday,"[-1.1074607803497711, 2.3803018024448286, 1.8934523228245186, 1.3688845853099327, -0.9093696726362216, 1.5959797350372649, 0.930037197223281, -1.0485724682482491, 0.20767478048424776, 0.477662138095501, -1.076931746256939, 0.7060941340718802, 2.4297560258036457, 1.3652260676801675, 0.1619883436562097, -0.281370535527243, 0.3283885415530026, -0.9752177936179999, -0.4775447923350288, -1.9617708151754156]"
20,Books,13.54,3.6,0.093,Standard,Holiday,"[0.7464050529836872, 1.5971774014565328, 1.0190231174460738, 0.014029941727769285, 1.0593643066013578, 1.026650427929272, 1.2362517455768374, 0.06828724872559469, 0.38272021046471283, -0.23072614913617365, -0.8977044087555, 2.003297233481918, -0.7521047940965343, 0.9048675092247521, 0.7258123344200709, 0.18105296854405653, -0.15498860228756406, -0.1450424301298643, -0.6570794376904858, 0.09444181951723862]"
21,Books,3.69,2.99,0.214,Standard,Winter,"[-1.714465064585784, 2.1788070739856296, 0.615640716846235, -0.17806425011790378, -1.2886117943651316, -1.4156140435920086, 2.2816109693836917, -1.4103695772416978, -1.6290008878591067, -0.3087620777110572, 0.8218481214131507, 1.6584973401983896, -0.2132984329468329, -0.22710423633347135, -1.283965983431107, 1.088251482925047, -0.06972136013830216, -0.03704953080571096, 0.4334389957704097, 0.30183599049436005]"
22,Books,11.14,3.21,0.349,Standard,None,"[-0.46405062626332033, 1.5296522920904683, 0.4506078354157196, -0.5249963268482449, -1.6216014229044902, 0.24384367249350644, -0.2504293322103213, -0.7285501843308623, 0.08752634984501938, -1.7797405111628606, 0.6204598024623365, -0.1828025517326632, -0.2673010743900444, 0.9528001076053968, -0.5358206557192421, 0.2586560299831514, -0.12951692306300036, 3.215947243111665, 0.48839956236244525, -1.1414567992076388]"
23,Sports,16.22,3.91,0.365,Standard,Summer,"[1.087726751338853, 0.33429996375100834, 0.5177207640270725, -0.2567338034800533, 1.3701751957535901, 1.4619928308683203, -0.24673728055347494, -0.41093507657386175, -0.08013706787980918, 0.19302213271794288, -1.0308251267194486, -0.5648714942069116, -0.6180320739060579, 0.8452803046068483, -0.8859625679998893, -1.7557678577580538, -1.967094562906154, -1.4703801346757173, 1.3615382028481113, 0.01620659948405166]"
