user_id,age,gender,income_level,location,activity_level,price_sensitivity,primary_segment,category_preferences
0,35,O,Medium,Suburban,Low,0.2217302789017885,Book Lover,"[0.08587444358961564, 0.3742640096860524, 5.22619970892344e-05, 0.32569375532908673, 0.06446493074651212, 0.06345051667829874, 0.00047570892978256895, 0.0015652065606012514, 0.04990719299564621, 0.03425197348731505]"
1,18,O,Low,Urban,Medium,0.2879904290770788,Movie Buff,"[0.017501292331624046, 0.006296522435756128, 0.2783645211331455, 0.3155219936823095, 0.15467342873839646, 0.034007084198448466, 0.019241803484879805, 0.10790807120252557, 0.054301836918654645, 0.012183445874259959]"
2,35,M,High,Urban,Medium,0.5518657495980078,Book Lover,"[0.10615062543654234, 0.3990798451490748, 0.16020645584099677, 0.06480770331932723, 0.18135365950236984, 0.006591030582949904, 0.0155169750359191, 0.003292259891943366, 0.02799383920599557, 0.03500760603488095]"
3,25,F,Medium,Urban,Medium,0.35325485000480755,Foodie,"[0.037061497003253806, 0.0256319687411232, 0.0010461781511819257, 0.016356635335140843, 0.09167137560156882, 0.11520478429581071, 0.06871062172458338, 0.3847966859848451, 0.077682248137434, 0.18183800502505817]"
4,55,M,Low,Urban,Medium,0.2534936744424912,Fashion Forward,"[0.014719542733127406, 0.14435285451058416, 0.33060110839446744, 0.09521095461917499, 0.17032722502313455, 0.07867702921607461, 0.08547954519123478, 0.06446271151318632, 0.002975491382178592, 0.013193537416837065]"
5,18,F,Medium,Suburban,High,0.33441605264306545,Movie Buff,"[0.02384727206333375, 0.012253890314960098, 0.1850507417374211, 0.11506727768370233, 0.06994381750247593, 0.1429914821528213, 0.22693975424370308, 0.01439279076047624, 0.1554882999541198, 0.05402467358698648]"
6,55,F,Medium,Urban,Medium,0.4904184178997463,Foodie,"[0.13058622136178838, 0.11340239967208778, 0.201595094658225, 0.053670945411007316, 0.0478532406610546, 0.03150653085930414, 0.04221068944384436, 0.2792668958997866, 0.08843648509202426, 0.011471496940877698]"
7,25,M,Medium,Suburban,Low,0.2252270909335928,Tech Enthusiast,"[0.05226668888651805, 0.014937072441199788, 0.06415206008697573, 0.4049903479310684, 0.026446747502581726, 0.10641448636460125, 0.13682978047164152, 0.025892167367920483, 0.12431577386769416, 0.043754875079799034]"
8,45,F,Medium,Urban,High,0.16226602605678067,Home Decorator,"[0.0020290763539472906, 0.08705277785374223, 0.03115426781188181, 0.2513758584863828, 0.02324271035773832, 0.14243883206232658, 0.05931354389373422, 0.3348458139115141, 0.017946520724053117, 0.05060059854467969]"
9,25,O,High,Urban,Medium,0.1962951977486356,Fitness Guru,"[0.16684341965135366, 0.07252069215914173, 0.02994698344304586, 0.03106958753073918, 0.1872511124863637, 0.1644799655300145, 0.15775604767825058, 0.10947229556995848, 0.0743028998002065, 0.006356996150925804]"
